freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.408e+01,1.046e+03,1.064e+01,1.120e+03
1.5,5.062e+01,5.897e+02,2.387e+01,6.642e+02
3.1,1.927e+01,4.113e+01,2.240e+01,8.281e+01
4.6,1.934e+01,1.057e+03,2.442e+01,1.101e+03
6.1,2.103e+01,3.393e+03,3.873e+01,3.453e+03
7.6,1.944e+01,3.749e+03,3.919e+01,3.808e+03
9.2,2.022e+01,5.652e+03,2.805e+01,5.700e+03
10.7,2.043e+01,8.364e+03,2.503e+01,8.410e+03
12.2,1.981e+01,1.175e+04,2.379e+01,1.179e+04
13.7,1.974e+01,1.654e+04,2.805e+01,1.659e+04
15.3,2.037e+01,2.267e+04,3.632e+01,2.273e+04
16.8,2.152e+01,2.888e+04,3.321e+01,2.893e+04
18.3,2.133e+01,3.609e+04,3.422e+01,3.614e+04
19.8,2.604e+01,4.575e+04,3.696e+01,4.582e+04
21.4,3.988e+01,5.869e+04,4.180e+01,5.877e+04
22.9,5.767e+01,7.634e+04,4.940e+01,7.645e+04
24.4,8.460e+01,9.529e+04,9.633e+01,9.547e+04
25.9,9.388e+01,8.795e+04,3.182e+02,8.836e+04
27.5,7.735e+01,8.474e+04,2.821e+02,8.510e+04
29.0,7.341e+01,1.055e+05,1.703e+02,1.058e+05
30.5,1.051e+02,1.391e+05,1.395e+02,1.393e+05
32.1,1.511e+02,1.872e+05,1.357e+02,1.875e+05
33.6,2.711e+02,2.581e+05,1.460e+02,2.586e+05
35.1,5.029e+02,3.462e+05,1.483e+02,3.468e+05
36.6,7.964e+02,4.632e+05,1.316e+02,4.642e+05
38.2,1.402e+03,6.794e+05,1.024e+02,6.809e+05
39.7,2.853e+03,1.191e+06,1.722e+02,1.194e+06
41.2,7.843e+03,2.597e+06,2.090e+03,2.607e+06
42.7,1.451e+04,3.475e+06,5.377e+03,3.495e+06
44.3,1.680e+04,2.943e+06,5.206e+03,2.965e+06
45.8,1.700e+04,2.200e+06,3.476e+03,2.221e+06
47.3,1.649e+04,1.593e+06,1.639e+03,1.612e+06
48.8,1.569e+04,1.128e+06,7.919e+02,1.145e+06
50.4,1.533e+04,8.146e+05,3.723e+02,8.303e+05
51.9,1.599e+04,6.181e+05,1.900e+02,6.343e+05
53.4,1.611e+04,4.639e+05,2.233e+02,4.802e+05
54.9,1.646e+04,3.570e+05,3.876e+02,3.739e+05
56.5,1.799e+04,3.037e+05,3.623e+02,3.221e+05
58.0,1.889e+04,2.700e+05,1.511e+02,2.890e+05
59.5,1.964e+04,2.279e+05,5.123e+01,2.475e+05
61.0,2.173e+04,1.868e+05,5.077e+01,2.086e+05
62.6,2.503e+04,1.502e+05,9.005e+01,1.753e+05
64.1,2.883e+04,1.179e+05,1.384e+02,1.469e+05
65.6,3.331e+04,9.039e+04,1.719e+02,1.239e+05
67.2,3.982e+04,7.242e+04,2.309e+02,1.125e+05
68.7,4.882e+04,6.077e+04,2.352e+02,1.098e+05
70.2,6.260e+04,5.137e+04,3.411e+02,1.143e+05
71.7,8.738e+04,4.226e+04,5.895e+02,1.302e+05
73.3,1.283e+05,3.561e+04,6.455e+02,1.646e+05
74.8,1.826e+05,4.367e+04,6.793e+02,2.270e+05
76.3,2.146e+05,7.237e+04,1.135e+03,2.881e+05
77.8,2.121e+05,1.045e+05,1.997e+03,3.186e+05
79.4,2.139e+05,1.342e+05,3.107e+03,3.512e+05
80.9,2.122e+05,1.634e+05,4.539e+03,3.801e+05
82.4,2.016e+05,1.799e+05,1.279e+04,3.943e+05
83.9,2.122e+05,2.059e+05,2.624e+04,4.443e+05
85.5,2.446e+05,2.659e+05,2.854e+04,5.390e+05
87.0,2.949e+05,3.850e+05,2.324e+04,7.032e+05
88.5,3.345e+05,5.305e+05,2.241e+04,8.874e+05
90.0,3.189e+05,6.026e+05,2.079e+04,9.423e+05
91.6,2.796e+05,6.092e+05,1.802e+04,9.068e+05
93.1,2.498e+05,5.890e+05,1.536e+04,8.542e+05
94.6,2.142e+05,5.278e+05,1.281e+04,7.548e+05
96.2,1.884e+05,4.862e+05,1.178e+04,6.864e+05
97.7,1.685e+05,4.508e+05,1.225e+04,6.315e+05
99.2,1.472e+05,4.038e+05,1.097e+04,5.619e+05
100.7,1.266e+05,3.576e+05,7.195e+03,4.914e+05
102.3,1.016e+05,3.147e+05,6.659e+03,4.229e+05
103.8,8.168e+04,2.728e+05,7.385e+03,3.618e+05
105.3,7.237e+04,2.433e+05,7.214e+03,3.229e+05
106.8,6.262e+04,2.148e+05,7.041e+03,2.844e+05
108.4,5.712e+04,1.912e+05,6.524e+03,2.548e+05
109.9,5.517e+04,1.636e+05,4.818e+03,2.236e+05
111.4,5.710e+04,1.379e+05,2.125e+03,1.971e+05
112.9,5.547e+04,1.288e+05,3.500e+03,1.877e+05
114.5,4.764e+04,1.237e+05,8.886e+03,1.803e+05
116.0,4.014e+04,1.202e+05,1.397e+04,1.743e+05
117.5,3.836e+04,1.111e+05,1.692e+04,1.664e+05
119.0,3.852e+04,9.852e+04,1.568e+04,1.527e+05
120.6,3.620e+04,9.197e+04,8.592e+03,1.368e+05
122.1,3.209e+04,8.948e+04,5.458e+03,1.270e+05
123.6,2.884e+04,8.779e+04,4.269e+03,1.209e+05
125.2,2.785e+04,8.074e+04,2.262e+03,1.109e+05
126.7,2.975e+04,6.865e+04,1.076e+03,9.948e+04
128.2,3.239e+04,5.550e+04,4.746e+02,8.836e+04
129.7,3.264e+04,5.128e+04,4.403e+02,8.436e+04
131.3,2.852e+04,6.361e+04,8.018e+02,9.293e+04
132.8,1.476e+04,4.559e+04,7.848e+02,6.114e+04
134.3,2.695e+03,6.204e+03,4.703e+02,9.369e+03
135.8,1.436e+03,1.946e+03,5.295e+02,3.911e+03
137.4,1.290e+03,2.537e+03,6.100e+02,4.437e+03
138.9,1.047e+03,3.325e+03,6.388e+02,5.011e+03
140.4,7.598e+02,4.074e+03,5.671e+02,5.400e+03
141.9,4.813e+02,4.598e+03,4.201e+02,5.499e+03
143.5,2.949e+02,4.866e+03,3.062e+02,5.467e+03
145.0,2.080e+02,5.066e+03,2.263e+02,5.500e+03
146.5,1.794e+02,4.973e+03,1.707e+02,5.323e+03
148.0,1.958e+02,4.817e+03,1.140e+02,5.127e+03
149.6,2.019e+02,4.839e+03,6.697e+01,5.108e+03
151.1,1.761e+02,4.902e+03,5.632e+01,5.134e+03
152.6,1.239e+02,4.875e+03,5.968e+01,5.059e+03
154.2,8.276e+01,4.297e+03,4.996e+01,4.429e+03
155.7,6.696e+01,3.747e+03,5.018e+01,3.864e+03
157.2,5.460e+01,3.434e+03,6.181e+01,3.550e+03
158.7,5.434e+01,3.359e+03,9.287e+01,3.507e+03
160.3,5.626e+01,3.278e+03,1.394e+02,3.474e+03
161.8,6.205e+01,3.464e+03,1.156e+02,3.642e+03
163.3,9.235e+01,3.759e+03,1.624e+02,4.013e+03
164.8,1.266e+02,3.995e+03,2.953e+02,4.417e+03
166.4,1.562e+02,4.105e+03,4.638e+02,4.725e+03
167.9,1.888e+02,4.217e+03,7.436e+02,5.149e+03
169.4,1.998e+02,4.100e+03,8.407e+02,5.140e+03
170.9,2.250e+02,4.213e+03,6.638e+02,5.102e+03
172.5,2.222e+02,4.455e+03,6.353e+02,5.313e+03
174.0,2.030e+02,4.498e+03,7.218e+02,5.423e+03
175.5,1.986e+02,3.945e+03,7.509e+02,4.894e+03
177.0,2.031e+02,4.596e+03,8.241e+02,5.623e+03
178.6,1.903e+02,5.282e+03,8.507e+02,6.323e+03
180.1,1.766e+02,5.234e+03,8.974e+02,6.308e+03
181.6,1.577e+02,4.873e+03,8.405e+02,5.871e+03
183.1,1.494e+02,4.529e+03,7.082e+02,5.387e+03
184.7,1.591e+02,4.331e+03,6.305e+02,5.120e+03
186.2,1.442e+02,4.147e+03,4.939e+02,4.785e+03
187.7,1.228e+02,4.054e+03,4.266e+02,4.603e+03
189.3,1.179e+02,4.075e+03,3.815e+02,4.575e+03
190.8,1.223e+02,4.100e+03,2.947e+02,4.517e+03
192.3,1.291e+02,4.208e+03,2.275e+02,4.565e+03
193.8,1.343e+02,4.611e+03,1.852e+02,4.931e+03
195.4,1.481e+02,5.664e+03,1.725e+02,5.985e+03
196.9,1.635e+02,6.428e+03,1.402e+02,6.732e+03
198.4,1.646e+02,6.269e+03,1.194e+02,6.553e+03
199.9,1.563e+02,5.973e+03,1.178e+02,6.247e+03
