freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.709e+01,2.508e+02,4.720e+00,2.826e+02
1.5,2.508e+01,1.527e+02,1.881e+01,1.965e+02
3.1,1.245e+01,2.350e+01,2.097e+01,5.693e+01
4.6,1.342e+01,3.703e+02,2.184e+01,4.056e+02
6.1,1.333e+01,1.334e+03,2.526e+01,1.373e+03
7.6,1.307e+01,1.419e+03,2.632e+01,1.458e+03
9.2,1.430e+01,1.713e+03,2.220e+01,1.750e+03
10.7,1.409e+01,2.497e+03,2.180e+01,2.532e+03
12.2,1.336e+01,3.571e+03,1.983e+01,3.604e+03
13.7,1.493e+01,4.996e+03,2.273e+01,5.034e+03
15.3,1.420e+01,6.888e+03,2.647e+01,6.928e+03
16.8,1.416e+01,9.014e+03,2.613e+01,9.054e+03
18.3,1.380e+01,1.130e+04,2.404e+01,1.134e+04
19.8,1.270e+01,1.402e+04,2.825e+01,1.406e+04
21.4,1.224e+01,1.786e+04,3.711e+01,1.791e+04
22.9,1.526e+01,2.365e+04,4.852e+01,2.371e+04
24.4,4.890e+01,2.969e+04,5.334e+01,2.979e+04
25.9,1.374e+02,2.856e+04,6.272e+01,2.876e+04
27.5,2.077e+02,2.772e+04,7.351e+01,2.800e+04
29.0,2.070e+02,3.395e+04,8.020e+01,3.423e+04
30.5,1.486e+02,4.566e+04,9.476e+01,4.590e+04
32.0,1.233e+02,6.238e+04,1.352e+02,6.264e+04
33.6,1.189e+02,8.505e+04,1.780e+02,8.534e+04
35.1,1.331e+02,1.166e+05,2.150e+02,1.169e+05
36.6,2.037e+02,1.704e+05,2.377e+02,1.709e+05
38.1,4.624e+02,2.737e+05,2.846e+02,2.744e+05
39.7,1.151e+03,3.926e+05,3.227e+02,3.941e+05
41.2,1.969e+03,4.677e+05,2.462e+02,4.699e+05
42.7,2.413e+03,5.578e+05,1.988e+02,5.604e+05
44.2,2.628e+03,6.167e+05,1.776e+02,6.195e+05
45.8,3.146e+03,5.887e+05,1.203e+02,5.920e+05
47.3,3.698e+03,4.648e+05,6.973e+01,4.686e+05
48.8,4.019e+03,3.262e+05,6.174e+01,3.303e+05
50.3,4.199e+03,2.188e+05,7.355e+01,2.231e+05
51.9,4.520e+03,1.554e+05,1.001e+02,1.600e+05
53.4,5.148e+03,1.158e+05,1.246e+02,1.211e+05
54.9,5.798e+03,8.668e+04,1.340e+02,9.261e+04
56.4,6.045e+03,6.030e+04,1.491e+02,6.650e+04
58.0,6.155e+03,4.530e+04,1.708e+02,5.163e+04
59.5,6.548e+03,4.353e+04,1.832e+02,5.027e+04
61.0,7.673e+03,4.151e+04,1.765e+02,4.936e+04
62.5,9.683e+03,3.788e+04,2.284e+02,4.779e+04
64.1,1.211e+04,3.542e+04,3.179e+02,4.784e+04
65.6,1.462e+04,3.377e+04,4.492e+02,4.883e+04
67.1,1.655e+04,3.303e+04,6.406e+02,5.023e+04
68.6,1.993e+04,3.383e+04,8.116e+02,5.457e+04
70.2,2.697e+04,3.498e+04,9.927e+02,6.294e+04
71.7,3.524e+04,3.437e+04,1.315e+03,7.093e+04
73.2,4.493e+04,3.344e+04,1.503e+03,7.987e+04
74.7,5.753e+04,3.183e+04,1.313e+03,9.067e+04
76.3,7.248e+04,3.121e+04,8.504e+02,1.045e+05
77.8,8.870e+04,3.582e+04,5.290e+02,1.250e+05
79.3,1.018e+05,5.014e+04,6.037e+02,1.526e+05
80.8,9.440e+04,6.961e+04,8.440e+02,1.649e+05
82.4,6.326e+04,7.378e+04,1.186e+03,1.382e+05
83.9,3.965e+04,6.133e+04,1.485e+03,1.025e+05
85.4,3.673e+04,4.781e+04,1.671e+03,8.621e+04
87.0,5.747e+04,5.000e+04,1.446e+03,1.089e+05
88.5,9.082e+04,7.663e+04,1.389e+03,1.688e+05
90.0,1.224e+05,1.263e+05,1.551e+03,2.503e+05
91.5,1.391e+05,1.831e+05,1.943e+03,3.241e+05
93.1,1.307e+05,2.153e+05,2.514e+03,3.485e+05
94.6,1.088e+05,2.139e+05,3.212e+03,3.259e+05
96.1,9.486e+04,2.145e+05,4.334e+03,3.137e+05
97.6,8.088e+04,2.101e+05,5.403e+03,2.964e+05
99.2,6.820e+04,1.961e+05,5.911e+03,2.702e+05
100.7,5.974e+04,1.825e+05,6.069e+03,2.483e+05
102.2,5.223e+04,1.653e+05,5.924e+03,2.235e+05
103.7,4.493e+04,1.436e+05,5.938e+03,1.945e+05
105.3,3.750e+04,1.189e+05,6.447e+03,1.628e+05
106.8,3.510e+04,1.111e+05,6.166e+03,1.524e+05
108.3,3.363e+04,1.061e+05,5.424e+03,1.452e+05
109.8,3.281e+04,9.702e+04,4.862e+03,1.347e+05
111.4,3.123e+04,8.688e+04,4.744e+03,1.229e+05
112.9,2.882e+04,7.593e+04,4.863e+03,1.096e+05
114.4,2.576e+04,6.344e+04,3.565e+03,9.276e+04
115.9,2.376e+04,5.533e+04,2.381e+03,8.147e+04
117.5,2.509e+04,5.685e+04,2.409e+03,8.435e+04
