freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.379e+01,3.446e+02,4.585e+00,3.729e+02
1.5,2.370e+01,2.018e+02,1.929e+01,2.448e+02
3.0,1.226e+01,1.965e+01,2.114e+01,5.304e+01
4.6,1.145e+01,2.382e+02,2.072e+01,2.704e+02
6.1,1.294e+01,8.455e+02,2.337e+01,8.818e+02
7.6,1.323e+01,1.186e+03,4.347e+01,1.243e+03
9.1,1.305e+01,1.822e+03,4.635e+01,1.881e+03
10.7,1.304e+01,2.744e+03,2.955e+01,2.787e+03
12.2,1.390e+01,3.705e+03,2.411e+01,3.743e+03
13.7,1.656e+01,4.936e+03,2.148e+01,4.974e+03
15.2,1.973e+01,6.651e+03,2.034e+01,6.691e+03
16.8,1.777e+01,8.786e+03,2.115e+01,8.825e+03
18.3,1.898e+01,1.092e+04,2.397e+01,1.096e+04
19.8,1.944e+01,1.302e+04,2.849e+01,1.307e+04
21.3,1.959e+01,1.579e+04,4.690e+01,1.585e+04
22.9,2.089e+01,1.982e+04,6.095e+01,1.990e+04
24.4,2.700e+01,2.463e+04,3.933e+01,2.469e+04
25.9,5.109e+01,2.779e+04,2.726e+01,2.787e+04
27.4,9.813e+01,2.805e+04,3.844e+01,2.819e+04
29.0,1.369e+02,3.200e+04,5.116e+01,3.219e+04
30.5,1.327e+02,4.112e+04,6.995e+01,4.132e+04
32.0,1.317e+02,5.372e+04,9.217e+01,5.395e+04
33.5,1.361e+02,7.065e+04,1.023e+02,7.089e+04
35.1,1.443e+02,9.262e+04,1.271e+02,9.289e+04
36.6,1.482e+02,1.236e+05,2.143e+02,1.240e+05
38.1,1.118e+02,1.733e+05,2.741e+02,1.737e+05
39.6,1.157e+02,2.474e+05,3.015e+02,2.478e+05
41.2,3.345e+02,3.916e+05,3.704e+02,3.923e+05
42.7,6.899e+02,6.302e+05,5.771e+02,6.315e+05
44.2,9.888e+02,8.642e+05,8.684e+02,8.661e+05
45.7,1.414e+03,9.362e+05,1.009e+03,9.386e+05
47.3,1.742e+03,8.258e+05,9.039e+02,8.285e+05
48.8,1.961e+03,6.625e+05,7.244e+02,6.652e+05
50.3,2.252e+03,5.051e+05,5.792e+02,5.080e+05
51.8,2.515e+03,3.854e+05,5.210e+02,3.884e+05
53.4,2.656e+03,2.913e+05,4.436e+02,2.944e+05
54.9,2.803e+03,2.223e+05,3.529e+02,2.255e+05
56.4,2.780e+03,1.677e+05,2.593e+02,1.707e+05
57.9,2.555e+03,1.338e+05,2.696e+02,1.366e+05
59.5,2.632e+03,1.311e+05,2.935e+02,1.340e+05
61.0,3.211e+03,1.269e+05,2.841e+02,1.304e+05
62.5,4.321e+03,1.135e+05,2.719e+02,1.181e+05
64.0,5.795e+03,9.722e+04,3.204e+02,1.033e+05
65.6,7.265e+03,8.438e+04,4.370e+02,9.208e+04
67.1,8.264e+03,7.546e+04,5.591e+02,8.429e+04
68.6,9.730e+03,6.882e+04,6.690e+02,7.922e+04
70.1,1.372e+04,6.197e+04,8.244e+02,7.652e+04
71.7,2.040e+04,5.247e+04,1.040e+03,7.391e+04
73.2,3.086e+04,4.080e+04,1.214e+03,7.288e+04
74.7,4.783e+04,2.809e+04,9.344e+02,7.685e+04
76.2,7.409e+04,1.788e+04,4.670e+02,9.244e+04
77.8,9.776e+04,1.576e+04,3.230e+02,1.138e+05
79.3,1.091e+05,2.405e+04,3.796e+02,1.335e+05
80.8,9.008e+04,3.529e+04,5.067e+02,1.259e+05
82.3,5.533e+04,3.553e+04,6.532e+02,9.151e+04
83.9,3.791e+04,2.694e+04,7.624e+02,6.561e+04
85.4,4.357e+04,2.108e+04,9.392e+02,6.558e+04
86.9,6.562e+04,2.765e+04,1.109e+03,9.438e+04
88.4,9.551e+04,5.070e+04,1.126e+03,1.473e+05
90.0,1.274e+05,9.214e+04,1.055e+03,2.206e+05
91.5,1.501e+05,1.475e+05,1.334e+03,2.990e+05
93.0,1.459e+05,1.894e+05,1.998e+03,3.373e+05
94.5,1.208e+05,1.936e+05,2.619e+03,3.170e+05
96.1,1.019e+05,1.914e+05,3.209e+03,2.965e+05
97.6,8.666e+04,1.883e+05,3.671e+03,2.786e+05
99.1,7.250e+04,1.760e+05,4.007e+03,2.526e+05
100.6,6.089e+04,1.603e+05,4.221e+03,2.254e+05
102.2,5.199e+04,1.443e+05,4.320e+03,2.007e+05
103.7,4.416e+04,1.257e+05,4.171e+03,1.741e+05
105.2,3.849e+04,1.087e+05,3.875e+03,1.510e+05
106.7,3.415e+04,9.682e+04,4.092e+03,1.351e+05
108.3,3.085e+04,8.746e+04,4.804e+03,1.231e+05
109.8,2.899e+04,8.323e+04,4.542e+03,1.168e+05
111.3,2.645e+04,7.587e+04,4.254e+03,1.066e+05
112.8,2.500e+04,6.668e+04,3.614e+03,9.529e+04
114.4,2.392e+04,5.886e+04,2.518e+03,8.531e+04
115.9,2.435e+04,5.674e+04,2.473e+03,8.357e+04
117.4,2.447e+04,5.713e+04,2.207e+03,8.381e+04
118.9,2.350e+04,5.480e+04,1.729e+03,8.003e+04
120.5,2.207e+04,5.088e+04,2.417e+03,7.537e+04
122.0,1.920e+04,4.477e+04,2.429e+03,6.640e+04
123.5,1.785e+04,3.996e+04,1.813e+03,5.962e+04
125.0,1.894e+04,3.576e+04,1.562e+03,5.626e+04
126.6,2.277e+04,3.248e+04,1.416e+03,5.666e+04
128.1,2.681e+04,2.737e+04,1.320e+03,5.550e+04
129.6,2.922e+04,2.155e+04,1.233e+03,5.200e+04
131.1,2.853e+04,1.747e+04,1.143e+03,4.715e+04
132.7,1.808e+04,1.191e+04,7.849e+02,3.078e+04
134.2,3.028e+03,2.722e+03,2.896e+02,6.039e+03
135.7,8.261e+02,1.735e+03,1.711e+02,2.732e+03
137.2,1.003e+03,3.113e+03,1.302e+02,4.246e+03
138.8,1.160e+03,5.194e+03,1.095e+02,6.463e+03
140.3,1.044e+03,6.741e+03,1.064e+02,7.892e+03
141.8,7.363e+02,7.378e+03,1.076e+02,8.222e+03
143.3,4.648e+02,7.435e+03,9.834e+01,7.998e+03
144.9,3.081e+02,6.855e+03,1.001e+02,7.263e+03
146.4,1.758e+02,6.043e+03,1.051e+02,6.324e+03
147.9,8.947e+01,5.566e+03,1.093e+02,5.765e+03
149.4,4.554e+01,5.182e+03,1.391e+02,5.367e+03
151.0,3.883e+01,5.170e+03,1.732e+02,5.382e+03
152.5,4.493e+01,4.862e+03,1.941e+02,5.101e+03
154.0,4.509e+01,4.781e+03,2.083e+02,5.035e+03
155.5,4.299e+01,4.592e+03,2.089e+02,4.844e+03
157.1,4.131e+01,4.274e+03,2.136e+02,4.529e+03
158.6,3.874e+01,4.053e+03,2.095e+02,4.301e+03
160.1,3.671e+01,3.717e+03,2.033e+02,3.957e+03
161.6,4.135e+01,3.450e+03,2.200e+02,3.711e+03
163.2,4.275e+01,3.208e+03,2.250e+02,3.476e+03
164.7,4.506e+01,3.137e+03,2.324e+02,3.415e+03
166.2,5.168e+01,3.098e+03,2.888e+02,3.439e+03
167.7,6.072e+01,2.980e+03,3.465e+02,3.387e+03
169.3,6.750e+01,2.750e+03,3.567e+02,3.174e+03
170.8,8.784e+01,2.790e+03,4.262e+02,3.304e+03
172.3,1.131e+02,3.257e+03,4.896e+02,3.860e+03
173.8,1.359e+02,3.456e+03,5.562e+02,4.148e+03
175.4,1.399e+02,3.212e+03,5.377e+02,3.889e+03
176.9,1.458e+02,3.397e+03,5.162e+02,4.059e+03
178.4,1.561e+02,3.659e+03,4.593e+02,4.275e+03
179.9,1.640e+02,3.653e+03,4.004e+02,4.218e+03
181.5,1.704e+02,3.657e+03,3.857e+02,4.213e+03
183.0,1.711e+02,3.567e+03,3.735e+02,4.112e+03
184.5,1.737e+02,3.568e+03,3.576e+02,4.099e+03
186.0,1.543e+02,3.526e+03,3.404e+02,4.021e+03
187.6,1.425e+02,3.430e+03,3.283e+02,3.900e+03
189.1,1.465e+02,3.517e+03,3.785e+02,4.042e+03
190.6,1.485e+02,4.006e+03,4.002e+02,4.555e+03
192.1,1.692e+02,4.328e+03,4.552e+02,4.953e+03
193.7,1.776e+02,3.883e+03,4.266e+02,4.487e+03
195.2,1.735e+02,3.691e+03,3.870e+02,4.251e+03
196.7,1.831e+02,3.945e+03,4.024e+02,4.531e+03
198.2,2.041e+02,4.128e+03,4.178e+02,4.750e+03
199.8,2.154e+02,3.897e+03,3.900e+02,4.503e+03
