freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.461e+01,2.545e+02,3.411e+00,2.825e+02
1.5,2.290e+01,1.509e+02,1.689e+01,1.907e+02
3.1,1.171e+01,2.162e+01,2.075e+01,5.409e+01
4.6,1.178e+01,3.749e+02,2.102e+01,4.077e+02
6.1,1.201e+01,1.338e+03,2.651e+01,1.376e+03
7.6,1.189e+01,1.385e+03,2.769e+01,1.425e+03
9.2,1.238e+01,1.865e+03,1.994e+01,1.897e+03
10.7,1.184e+01,2.874e+03,2.127e+01,2.907e+03
12.2,1.190e+01,4.301e+03,2.048e+01,4.333e+03
13.7,1.266e+01,6.252e+03,2.247e+01,6.287e+03
15.3,1.222e+01,8.310e+03,2.834e+01,8.351e+03
16.8,1.275e+01,1.048e+04,2.767e+01,1.052e+04
18.3,1.344e+01,1.327e+04,2.304e+01,1.331e+04
19.9,1.569e+01,1.695e+04,2.385e+01,1.699e+04
21.4,1.994e+01,2.176e+04,2.905e+01,2.181e+04
22.9,3.092e+01,2.903e+04,3.514e+01,2.910e+04
24.4,4.814e+01,3.813e+04,5.056e+01,3.822e+04
26.0,4.645e+01,3.728e+04,1.018e+02,3.743e+04
27.5,2.792e+01,3.331e+04,7.716e+01,3.341e+04
29.0,2.561e+01,4.134e+04,4.190e+01,4.141e+04
30.5,2.896e+01,5.815e+04,3.414e+01,5.821e+04
32.1,5.613e+01,8.540e+04,3.870e+01,8.549e+04
33.6,1.439e+02,1.322e+05,4.620e+01,1.324e+05
35.1,3.317e+02,2.142e+05,5.485e+01,2.146e+05
36.7,6.458e+02,3.180e+05,5.894e+01,3.187e+05
38.2,9.624e+02,4.033e+05,5.542e+01,4.043e+05
39.7,1.265e+03,4.682e+05,5.042e+01,4.695e+05
41.2,1.602e+03,4.495e+05,6.801e+01,4.512e+05
42.8,1.928e+03,3.870e+05,8.995e+01,3.890e+05
44.3,2.134e+03,3.227e+05,9.368e+01,3.249e+05
45.8,2.313e+03,2.669e+05,1.011e+02,2.693e+05
47.3,2.450e+03,2.107e+05,1.048e+02,2.133e+05
48.9,2.507e+03,1.546e+05,1.310e+02,1.572e+05
50.4,2.586e+03,1.099e+05,1.147e+02,1.126e+05
51.9,2.827e+03,8.267e+04,9.645e+01,8.559e+04
53.5,3.121e+03,6.345e+04,8.933e+01,6.666e+04
55.0,3.468e+03,4.879e+04,6.767e+01,5.232e+04
56.5,3.518e+03,3.644e+04,1.276e+02,4.009e+04
58.0,3.471e+03,2.830e+04,2.018e+02,3.197e+04
59.6,4.158e+03,2.437e+04,1.775e+02,2.870e+04
61.1,5.290e+03,2.085e+04,1.095e+02,2.625e+04
