freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.300e+00,4.054e+00,5.904e+02,5.997e+02
1.5,1.233e+01,1.274e+01,3.471e+02,3.722e+02
3.1,1.188e+01,1.370e+01,2.914e+01,5.472e+01
4.6,1.221e+01,1.494e+01,3.325e+02,3.596e+02
6.1,1.378e+01,1.954e+01,1.251e+03,1.285e+03
7.6,1.406e+01,2.168e+01,1.646e+03,1.682e+03
9.2,1.478e+01,1.777e+01,2.266e+03,2.299e+03
10.7,1.549e+01,1.802e+01,3.219e+03,3.252e+03
12.2,1.633e+01,1.982e+01,4.274e+03,4.310e+03
13.7,1.621e+01,1.950e+01,5.452e+03,5.488e+03
15.3,1.540e+01,1.763e+01,6.787e+03,6.820e+03
16.8,1.613e+01,1.761e+01,8.368e+03,8.402e+03
18.3,1.703e+01,2.158e+01,1.046e+04,1.050e+04
19.8,1.893e+01,2.496e+01,1.310e+04,1.314e+04
21.4,1.918e+01,2.380e+01,1.660e+04,1.664e+04
22.9,1.828e+01,1.979e+01,2.107e+04,2.111e+04
24.4,1.862e+01,2.051e+01,2.448e+04,2.452e+04
25.9,2.051e+01,2.957e+01,2.307e+04,2.312e+04
27.5,1.929e+01,3.550e+01,2.172e+04,2.178e+04
29.0,1.964e+01,2.952e+01,2.582e+04,2.587e+04
30.5,2.094e+01,2.641e+01,3.021e+04,3.026e+04
32.1,2.466e+01,2.582e+01,3.491e+04,3.496e+04
33.6,2.533e+01,2.328e+01,4.044e+04,4.049e+04
35.1,2.476e+01,2.028e+01,4.636e+04,4.640e+04
36.6,2.372e+01,2.143e+01,5.241e+04,5.245e+04
38.2,2.571e+01,2.314e+01,5.987e+04,5.992e+04
39.7,3.365e+01,2.416e+01,6.744e+04,6.750e+04
41.2,2.498e+01,2.590e+01,7.825e+04,7.830e+04
42.7,1.723e+01,2.509e+01,9.047e+04,9.051e+04
44.3,1.402e+01,2.846e+01,1.014e+05,1.015e+05
45.8,1.600e+01,3.690e+01,1.206e+05,1.207e+05
47.3,2.377e+01,4.889e+01,1.476e+05,1.476e+05
48.8,3.700e+01,6.590e+01,1.763e+05,1.764e+05
50.4,6.490e+01,8.174e+01,2.031e+05,2.033e+05
51.9,1.081e+02,1.414e+02,2.505e+05,2.508e+05
53.4,1.203e+02,2.819e+02,3.120e+05,3.124e+05
54.9,1.639e+02,3.206e+02,3.627e+05,3.632e+05
56.5,2.752e+02,2.316e+02,4.151e+05,4.156e+05
58.0,4.098e+02,1.976e+02,5.145e+05,5.151e+05
59.5,6.880e+02,3.078e+02,7.220e+05,7.230e+05
61.1,1.278e+03,6.718e+02,1.093e+06,1.095e+06
62.6,2.766e+03,1.584e+03,1.709e+06,1.714e+06
64.1,4.573e+03,3.671e+03,2.405e+06,2.413e+06
65.6,6.060e+03,6.052e+03,2.681e+06,2.694e+06
67.2,7.651e+03,5.835e+03,2.364e+06,2.377e+06
68.7,1.163e+04,5.083e+03,2.166e+06,2.183e+06
70.2,1.268e+04,5.187e+03,1.885e+06,1.903e+06
71.7,1.570e+04,5.619e+03,1.550e+06,1.572e+06
73.3,2.120e+04,5.667e+03,1.360e+06,1.387e+06
74.8,2.216e+04,4.568e+03,1.221e+06,1.248e+06
76.3,1.695e+04,2.963e+03,1.073e+06,1.093e+06
77.8,9.562e+03,2.005e+03,9.110e+05,9.226e+05
79.4,5.137e+03,2.237e+03,7.568e+05,7.641e+05
80.9,4.989e+03,2.872e+03,6.138e+05,6.217e+05
82.4,6.628e+03,3.136e+03,4.977e+05,5.075e+05
83.9,7.972e+03,2.495e+03,4.510e+05,4.614e+05
85.5,8.270e+03,1.811e+03,4.268e+05,4.369e+05
87.0,7.670e+03,1.304e+03,4.065e+05,4.155e+05
88.5,6.093e+03,7.789e+02,3.721e+05,3.789e+05
90.1,4.217e+03,3.407e+02,3.443e+05,3.488e+05
91.6,2.693e+03,1.707e+02,3.202e+05,3.231e+05
93.1,1.831e+03,2.260e+02,3.035e+05,3.056e+05
94.6,1.215e+03,3.750e+02,2.854e+05,2.870e+05
96.2,6.998e+02,5.746e+02,2.686e+05,2.698e+05
97.7,4.209e+02,9.488e+02,2.501e+05,2.515e+05
99.2,3.255e+02,1.280e+03,2.040e+05,2.056e+05
100.7,4.148e+02,1.292e+03,1.925e+05,1.942e+05
102.3,7.643e+02,2.007e+03,2.192e+05,2.220e+05
103.8,1.055e+03,2.232e+03,2.124e+05,2.157e+05
105.3,8.429e+02,1.515e+03,1.931e+05,1.955e+05
106.8,4.774e+02,2.031e+03,1.899e+05,1.924e+05
108.4,4.072e+02,3.744e+03,1.936e+05,1.978e+05
109.9,9.422e+02,5.445e+03,1.946e+05,2.010e+05
111.4,2.496e+03,6.327e+03,1.835e+05,1.923e+05
112.9,4.069e+03,5.209e+03,1.660e+05,1.753e+05
114.5,4.289e+03,2.830e+03,1.472e+05,1.543e+05
