freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.934e+00,5.886e+00,5.658e+02,5.756e+02
1.5,1.095e+01,1.568e+01,3.292e+02,3.558e+02
3.1,1.209e+01,1.719e+01,2.716e+01,5.644e+01
4.6,1.248e+01,1.818e+01,3.149e+02,3.455e+02
6.1,1.232e+01,2.027e+01,1.206e+03,1.239e+03
7.6,1.198e+01,2.489e+01,1.635e+03,1.672e+03
9.2,1.323e+01,1.873e+01,2.127e+03,2.159e+03
10.7,1.447e+01,1.740e+01,2.925e+03,2.957e+03
12.2,1.577e+01,1.720e+01,3.720e+03,3.753e+03
13.7,1.569e+01,1.723e+01,4.630e+03,4.663e+03
15.3,1.549e+01,1.712e+01,5.891e+03,5.923e+03
16.8,1.559e+01,1.698e+01,7.577e+03,7.609e+03
18.3,1.521e+01,1.700e+01,9.579e+03,9.612e+03
19.8,1.728e+01,1.908e+01,1.210e+04,1.214e+04
21.4,1.940e+01,2.799e+01,1.526e+04,1.531e+04
22.9,1.868e+01,4.153e+01,1.934e+04,1.940e+04
24.4,2.003e+01,5.050e+01,2.187e+04,2.194e+04
25.9,2.337e+01,3.615e+01,2.081e+04,2.087e+04
27.5,2.935e+01,2.785e+01,2.252e+04,2.258e+04
29.0,3.261e+01,3.546e+01,2.661e+04,2.668e+04
30.5,3.717e+01,4.145e+01,3.153e+04,3.161e+04
32.0,4.440e+01,7.086e+01,3.699e+04,3.711e+04
33.6,4.919e+01,1.037e+02,4.070e+04,4.085e+04
35.1,5.643e+01,1.124e+02,4.393e+04,4.409e+04
36.6,6.980e+01,1.062e+02,5.012e+04,5.030e+04
38.1,8.588e+01,1.067e+02,5.833e+04,5.852e+04
39.7,8.972e+01,1.137e+02,6.569e+04,6.590e+04
41.2,8.138e+01,1.221e+02,7.628e+04,7.648e+04
42.7,8.138e+01,1.508e+02,8.970e+04,8.993e+04
44.2,8.899e+01,2.130e+02,1.049e+05,1.052e+05
45.8,8.542e+01,3.057e+02,1.266e+05,1.270e+05
47.3,7.702e+01,4.533e+02,1.576e+05,1.581e+05
48.8,7.318e+01,5.928e+02,1.891e+05,1.897e+05
50.3,6.463e+01,6.265e+02,2.242e+05,2.249e+05
51.9,5.615e+01,6.605e+02,2.846e+05,2.853e+05
53.4,9.021e+01,7.747e+02,3.666e+05,3.675e+05
54.9,2.276e+02,9.143e+02,4.835e+05,4.846e+05
56.4,5.484e+02,9.545e+02,5.926e+05,5.941e+05
58.0,9.601e+02,1.064e+03,7.031e+05,7.051e+05
59.5,1.180e+03,1.466e+03,9.593e+05,9.620e+05
61.0,1.874e+03,2.146e+03,1.406e+06,1.410e+06
62.5,3.359e+03,3.932e+03,2.057e+06,2.065e+06
64.1,4.828e+03,7.485e+03,2.619e+06,2.631e+06
65.6,5.736e+03,1.034e+04,2.659e+06,2.676e+06
67.1,6.479e+03,9.799e+03,2.138e+06,2.154e+06
68.6,7.079e+03,7.672e+03,1.603e+06,1.618e+06
70.2,7.206e+03,5.584e+03,1.267e+06,1.280e+06
71.7,6.796e+03,4.011e+03,9.580e+05,9.688e+05
73.2,6.414e+03,3.035e+03,7.004e+05,7.098e+05
74.7,7.435e+03,2.221e+03,6.254e+05,6.351e+05
76.3,8.052e+03,1.428e+03,7.266e+05,7.360e+05
77.8,6.515e+03,8.576e+02,7.598e+05,7.671e+05
79.3,5.475e+03,7.088e+02,6.935e+05,6.997e+05
80.8,5.871e+03,7.220e+02,5.829e+05,5.895e+05
82.4,5.487e+03,8.696e+02,4.733e+05,4.797e+05
83.9,3.812e+03,9.414e+02,3.947e+05,3.994e+05
85.4,2.807e+03,9.939e+02,3.468e+05,3.506e+05
86.9,3.915e+03,1.099e+03,3.213e+05,3.263e+05
88.5,6.280e+03,1.298e+03,3.070e+05,3.146e+05
90.0,7.477e+03,1.573e+03,2.896e+05,2.987e+05
91.5,7.097e+03,2.064e+03,2.727e+05,2.818e+05
93.1,6.340e+03,2.818e+03,2.562e+05,2.654e+05
94.6,6.305e+03,4.117e+03,2.420e+05,2.525e+05
96.1,7.034e+03,5.442e+03,2.386e+05,2.511e+05
97.6,6.883e+03,6.373e+03,2.330e+05,2.462e+05
99.2,6.094e+03,7.066e+03,2.249e+05,2.381e+05
100.7,5.311e+03,7.744e+03,2.157e+05,2.288e+05
102.2,4.552e+03,7.962e+03,2.043e+05,2.168e+05
103.7,3.526e+03,7.015e+03,1.887e+05,1.992e+05
105.3,3.360e+03,6.341e+03,1.692e+05,1.789e+05
106.8,4.411e+03,1.064e+04,1.623e+05,1.773e+05
108.3,3.101e+03,1.205e+04,1.678e+05,1.829e+05
109.8,2.127e+03,9.021e+03,1.684e+05,1.796e+05
111.4,1.575e+03,7.409e+03,1.611e+05,1.701e+05
112.9,1.111e+03,6.564e+03,1.480e+05,1.557e+05
114.4,8.313e+02,5.819e+03,1.332e+05,1.398e+05
115.9,7.873e+02,6.105e+03,1.198e+05,1.266e+05
117.5,7.568e+02,6.842e+03,1.047e+05,1.123e+05
119.0,6.917e+02,7.886e+03,8.279e+04,9.137e+04
120.5,7.753e+02,8.942e+03,6.109e+04,7.081e+04
122.0,1.046e+03,7.824e+03,4.606e+04,5.493e+04
123.6,6.722e+02,4.206e+03,3.645e+04,4.133e+04
125.1,3.093e+02,2.887e+03,2.870e+04,3.190e+04
126.6,2.793e+02,2.969e+03,2.257e+04,2.582e+04
128.1,3.309e+02,3.308e+03,1.856e+04,2.220e+04
129.7,3.680e+02,4.263e+03,1.663e+04,2.126e+04
131.2,5.088e+02,6.004e+03,1.560e+04,2.212e+04
132.7,6.914e+02,5.396e+03,1.080e+04,1.688e+04
134.2,5.439e+02,1.951e+03,3.496e+03,5.991e+03
135.8,4.960e+02,1.421e+03,2.493e+03,4.411e+03
137.3,5.012e+02,1.401e+03,2.426e+03,4.328e+03
138.8,5.302e+02,1.468e+03,2.373e+03,4.371e+03
140.3,5.452e+02,1.715e+03,2.412e+03,4.673e+03
141.9,4.973e+02,2.479e+03,2.600e+03,5.577e+03
143.4,5.805e+02,3.410e+03,2.735e+03,6.725e+03
144.9,7.175e+02,3.644e+03,2.644e+03,7.005e+03
146.4,8.399e+02,3.652e+03,2.604e+03,7.096e+03
148.0,9.814e+02,3.617e+03,2.651e+03,7.249e+03
149.5,1.165e+03,3.388e+03,2.771e+03,7.324e+03
151.0,1.130e+03,3.026e+03,2.605e+03,6.761e+03
152.5,8.543e+02,2.908e+03,2.178e+03,5.941e+03
154.1,6.013e+02,2.910e+03,1.888e+03,5.399e+03
155.6,4.361e+02,2.960e+03,1.670e+03,5.066e+03
157.1,3.480e+02,3.132e+03,1.560e+03,5.040e+03
158.6,2.980e+02,3.027e+03,1.482e+03,4.807e+03
160.2,2.819e+02,3.078e+03,1.412e+03,4.772e+03
161.7,2.964e+02,3.245e+03,1.465e+03,5.006e+03
163.2,3.409e+02,3.456e+03,1.421e+03,5.217e+03
164.7,4.092e+02,3.641e+03,1.450e+03,5.500e+03
166.3,4.279e+02,3.542e+03,1.440e+03,5.410e+03
167.8,4.528e+02,3.166e+03,1.380e+03,4.998e+03
169.3,4.821e+02,2.926e+03,1.444e+03,4.853e+03
170.8,5.003e+02,3.234e+03,2.219e+03,5.953e+03
172.4,5.482e+02,3.724e+03,3.166e+03,7.439e+03
173.9,5.336e+02,4.056e+03,3.684e+03,8.273e+03
175.4,4.903e+02,3.870e+03,3.425e+03,7.785e+03
176.9,4.813e+02,3.809e+03,2.750e+03,7.041e+03
178.5,5.203e+02,3.920e+03,2.119e+03,6.559e+03
180.0,5.943e+02,4.152e+03,1.423e+03,6.169e+03
181.5,6.719e+02,4.322e+03,8.248e+02,5.819e+03
183.1,6.853e+02,4.300e+03,4.693e+02,5.454e+03
