freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.068e+01,3.319e+02,4.280e+00,3.669e+02
1.5,2.679e+01,1.961e+02,1.757e+01,2.405e+02
3.1,1.312e+01,2.108e+01,1.931e+01,5.350e+01
4.6,1.400e+01,3.638e+02,2.002e+01,3.979e+02
6.1,1.245e+01,1.328e+03,2.722e+01,1.368e+03
7.6,1.393e+01,1.386e+03,2.956e+01,1.429e+03
9.2,1.310e+01,1.816e+03,2.286e+01,1.852e+03
10.7,1.329e+01,2.734e+03,2.124e+01,2.768e+03
12.2,1.476e+01,3.949e+03,2.180e+01,3.986e+03
13.7,1.248e+01,5.676e+03,2.305e+01,5.711e+03
15.3,1.212e+01,7.823e+03,2.633e+01,7.862e+03
16.8,1.422e+01,9.977e+03,2.880e+01,1.002e+04
18.3,1.419e+01,1.237e+04,2.453e+01,1.241e+04
19.8,1.481e+01,1.548e+04,2.353e+01,1.552e+04
21.4,1.899e+01,1.921e+04,2.839e+01,1.926e+04
22.9,2.931e+01,2.459e+04,3.938e+01,2.466e+04
24.4,4.336e+01,3.192e+04,6.595e+01,3.203e+04
25.9,4.410e+01,3.323e+04,1.304e+02,3.341e+04
27.5,2.786e+01,2.929e+04,9.854e+01,2.942e+04
29.0,2.435e+01,3.343e+04,5.248e+01,3.350e+04
30.5,2.292e+01,4.309e+04,4.223e+01,4.315e+04
32.1,3.258e+01,5.757e+04,4.024e+01,5.764e+04
33.6,8.036e+01,7.778e+04,4.461e+01,7.791e+04
35.1,1.517e+02,1.053e+05,5.315e+01,1.055e+05
36.6,2.799e+02,1.439e+05,6.475e+01,1.443e+05
38.2,5.620e+02,2.010e+05,8.986e+01,2.017e+05
39.7,9.032e+02,2.637e+05,1.062e+02,2.647e+05
41.2,1.519e+03,3.802e+05,9.675e+01,3.818e+05
42.7,2.946e+03,6.264e+05,1.120e+02,6.295e+05
44.3,5.814e+03,9.519e+05,1.374e+02,9.578e+05
45.8,8.355e+03,1.039e+06,1.586e+02,1.048e+06
47.3,8.750e+03,8.128e+05,1.983e+02,8.218e+05
48.8,7.812e+03,5.261e+05,2.321e+02,5.341e+05
50.4,6.787e+03,3.247e+05,2.014e+02,3.317e+05
51.9,6.763e+03,2.263e+05,1.677e+02,2.332e+05
53.4,7.139e+03,1.727e+05,1.095e+02,1.799e+05
54.9,7.452e+03,1.307e+05,9.825e+01,1.382e+05
56.5,7.574e+03,9.589e+04,2.838e+02,1.037e+05
58.0,7.607e+03,7.534e+04,4.513e+02,8.340e+04
59.5,8.348e+03,6.408e+04,3.519e+02,7.278e+04
61.1,9.383e+03,4.963e+04,2.362e+02,5.925e+04
62.6,1.138e+04,3.738e+04,2.110e+02,4.897e+04
64.1,1.432e+04,2.858e+04,2.340e+02,4.314e+04
65.6,1.771e+04,2.228e+04,2.585e+02,4.026e+04
67.2,2.058e+04,1.667e+04,1.689e+02,3.743e+04
68.7,2.449e+04,1.252e+04,8.950e+01,3.711e+04
70.2,3.150e+04,1.026e+04,9.927e+01,4.186e+04
71.7,4.354e+04,8.943e+03,1.510e+02,5.263e+04
