freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.466e+00,5.874e+00,5.817e+02,5.920e+02
1.5,1.112e+01,1.671e+01,3.389e+02,3.668e+02
3.1,1.179e+01,2.408e+01,2.989e+01,6.576e+01
4.6,1.224e+01,4.617e+01,3.265e+02,3.849e+02
6.1,1.277e+01,9.726e+01,1.225e+03,1.335e+03
7.6,1.362e+01,1.101e+02,1.687e+03,1.811e+03
9.2,1.461e+01,5.299e+01,2.090e+03,2.157e+03
10.7,1.534e+01,2.915e+01,2.858e+03,2.902e+03
12.2,1.482e+01,2.282e+01,3.634e+03,3.672e+03
13.7,1.540e+01,2.197e+01,4.583e+03,4.621e+03
15.3,1.664e+01,2.419e+01,5.820e+03,5.860e+03
16.8,1.750e+01,2.388e+01,7.502e+03,7.544e+03
18.3,1.782e+01,2.134e+01,9.453e+03,9.492e+03
19.8,1.980e+01,2.002e+01,1.189e+04,1.193e+04
21.4,2.382e+01,2.079e+01,1.479e+04,1.484e+04
22.9,2.571e+01,2.404e+01,1.799e+04,1.804e+04
24.4,3.155e+01,2.366e+01,1.885e+04,1.891e+04
25.9,3.432e+01,2.139e+01,2.074e+04,2.079e+04
27.5,2.721e+01,1.959e+01,2.410e+04,2.415e+04
29.0,2.190e+01,2.314e+01,2.805e+04,2.809e+04
30.5,2.178e+01,3.285e+01,3.276e+04,3.282e+04
32.0,2.443e+01,4.292e+01,3.830e+04,3.836e+04
33.6,2.924e+01,5.434e+01,4.204e+04,4.212e+04
35.1,6.109e+01,6.146e+01,4.374e+04,4.386e+04
36.6,1.023e+02,6.681e+01,4.810e+04,4.827e+04
38.1,1.206e+02,7.347e+01,5.555e+04,5.575e+04
39.7,1.136e+02,7.301e+01,6.265e+04,6.284e+04
41.2,1.009e+02,7.262e+01,7.343e+04,7.361e+04
42.7,9.465e+01,8.291e+01,8.677e+04,8.695e+04
44.2,8.591e+01,1.113e+02,1.018e+05,1.020e+05
45.8,7.223e+01,1.602e+02,1.230e+05,1.232e+05
47.3,6.516e+01,2.186e+02,1.509e+05,1.512e+05
48.8,5.728e+01,2.564e+02,1.815e+05,1.818e+05
50.3,5.030e+01,2.884e+02,2.167e+05,2.171e+05
51.9,6.304e+01,3.620e+02,2.760e+05,2.765e+05
53.4,1.227e+02,4.619e+02,3.585e+05,3.591e+05
54.9,2.652e+02,5.820e+02,4.749e+05,4.757e+05
56.4,5.839e+02,6.508e+02,5.960e+05,5.972e+05
58.0,1.043e+03,8.596e+02,7.036e+05,7.055e+05
59.5,1.281e+03,1.377e+03,9.810e+05,9.837e+05
61.0,1.534e+03,2.262e+03,1.481e+06,1.484e+06
62.5,2.331e+03,3.635e+03,2.211e+06,2.217e+06
64.1,3.816e+03,5.587e+03,2.853e+06,2.862e+06
65.6,5.379e+03,7.531e+03,2.888e+06,2.901e+06
67.1,6.565e+03,7.750e+03,2.332e+06,2.346e+06
68.6,7.541e+03,6.628e+03,1.705e+06,1.719e+06
70.2,7.970e+03,5.338e+03,1.290e+06,1.303e+06
71.7,7.726e+03,4.108e+03,9.202e+05,9.321e+05
73.2,7.489e+03,3.246e+03,6.725e+05,6.833e+05
74.7,8.456e+03,2.519e+03,7.026e+05,7.136e+05
76.3,8.672e+03,1.693e+03,8.262e+05,8.366e+05
77.8,8.345e+03,1.205e+03,8.238e+05,8.333e+05
79.3,8.108e+03,9.799e+02,7.299e+05,7.390e+05
80.8,6.908e+03,7.428e+02,6.168e+05,6.245e+05
82.4,5.471e+03,7.066e+02,4.971e+05,5.033e+05
83.9,4.576e+03,7.427e+02,4.139e+05,4.192e+05
85.4,4.431e+03,7.702e+02,3.596e+05,3.648e+05
86.9,5.624e+03,9.711e+02,3.306e+05,3.372e+05
88.5,7.882e+03,1.461e+03,3.155e+05,3.249e+05
90.0,9.516e+03,1.828e+03,2.941e+05,3.054e+05
91.5,9.786e+03,2.236e+03,2.748e+05,2.868e+05
93.0,8.422e+03,2.380e+03,2.577e+05,2.685e+05
94.6,6.622e+03,2.559e+03,2.397e+05,2.489e+05
96.1,6.255e+03,3.060e+03,2.310e+05,2.403e+05
97.6,6.437e+03,3.587e+03,2.269e+05,2.369e+05
99.1,5.908e+03,3.916e+03,2.170e+05,2.268e+05
100.7,5.433e+03,4.360e+03,2.064e+05,2.161e+05
102.2,5.312e+03,5.245e+03,1.942e+05,2.048e+05
103.7,5.186e+03,5.990e+03,1.782e+05,1.894e+05
105.2,4.610e+03,5.603e+03,1.600e+05,1.702e+05
106.8,4.714e+03,5.466e+03,1.508e+05,1.610e+05
108.3,4.589e+03,6.620e+03,1.512e+05,1.624e+05
109.8,4.808e+03,6.254e+03,1.526e+05,1.637e+05
111.3,4.407e+03,5.962e+03,1.475e+05,1.579e+05
112.9,3.259e+03,5.817e+03,1.389e+05,1.479e+05
114.4,2.702e+03,5.741e+03,1.262e+05,1.346e+05
115.9,2.307e+03,5.815e+03,1.164e+05,1.245e+05
117.4,1.935e+03,6.071e+03,1.032e+05,1.112e+05
119.0,1.597e+03,6.639e+03,8.461e+04,9.285e+04
120.5,1.095e+03,6.938e+03,6.136e+04,6.940e+04
122.0,8.066e+02,6.101e+03,4.359e+04,5.050e+04
123.5,7.403e+02,3.919e+03,3.434e+04,3.900e+04
125.1,8.585e+02,2.340e+03,2.649e+04,2.968e+04
126.6,1.019e+03,1.758e+03,2.057e+04,2.334e+04
128.1,1.693e+03,1.785e+03,1.775e+04,2.123e+04
129.6,2.348e+03,2.660e+03,1.680e+04,2.181e+04
131.2,2.571e+03,4.093e+03,1.709e+04,2.375e+04
132.7,2.058e+03,4.045e+03,1.258e+04,1.868e+04
